"Severity","ThreadID","Date","Time","Application","Message"
"information","logger-plugin","08/28/2009","12:34:58",,"The log file has been initialized successfully by ColdBox.Log file: D:\ColdFusion8\wwwroot\warehouse\logs\warehouse.log; Encoding: ISO-8859-1"
"error","logger-plugin","08/28/2009","14:59:05",,"Custom Error Message: Application Execution ExceptionCFErrorType=Database  CFDetails=[Macromedia][SequeLink JDBC Driver][ODBC Socket][Microsoft][ODBC Microsoft Access Driver] Extra ) in query expression '((ts_products.onWeb)=1) AND ((ts_products.archive)=0)) AND (((ts_styles.styleName) NOT IN (CQ1952M )) AND ((ts_colors.colorCode) NOT IN (BLACK))'.  CFMessage=Error Executing Database Query.  CFStackTrace=coldfusion.tagext.sql.QueryTag$DatabaseQueryException: Error Executing Database Query.  	at coldfusion.tagext.sql.QueryTag.doEndTag(QueryTag.java:583)  	at cfwizards2ecfc1253089337$funcIMPORTINVENTORY.runFunction(D:\ColdFusion8\wwwroot\warehouse\handlers\admin\wizards.cfc:29)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)  	at coldfusion.filter.SilentFilter.invoke(SilentFilter.java:47)  	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)  	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)  	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:56)  	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:463)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:453)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:320)  	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2210)  	at coldfusion.tagext.lang.InvokeTag.doEndTag(InvokeTag.java:362)  	at cfcontroller2ecfc193288416$funcRUNEVENT.runFunction(D:\ColdFusion8\wwwroot\coldbox\system\controller.cfc:442)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)  	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)  	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)  	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:56)  	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:463)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:453)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:320)  	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2210)  	at cfcoldbox2ecfc1260462919$funcPROCESSCOLDBOXREQUEST.runFunction(D:\ColdFusion8\wwwroot\coldbox\system\coldbox.cfc:155)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)  	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)  	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)  	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:56)  	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:192)  	at coldfusion.runtime.CfJspPage._invokeUDF(CfJspPage.java:2464)  	at cfApplication2ecfc179269221$funcONREQUESTSTART.runFunction(D:\ColdFusion8\wwwroot\warehouse\Application.cfc:51)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)  	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)  	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)  	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:56)  	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:192)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:448)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:308)  	at coldfusion.runtime.AppEventInvoker.invoke(AppEventInvoker.java:74)  	at coldfusion.runtime.AppEventInvoker.onRequestStart(AppEventInvoker.java:221)  	at coldfusion.filter.ApplicationFilter.invoke(ApplicationFilter.java:264)  	at coldfusion.filter.RequestMonitorFilter.invoke(RequestMonitorFilter.java:48)  	at coldfusion.filter.MonitoringFilter.invoke(MonitoringFilter.java:40)  	at coldfusion.filter.PathFilter.invoke(PathFilter.java:86)  	at coldfusion.filter.ExceptionFilter.invoke(ExceptionFilter.java:70)  	at coldfusion.filter.ClientScopePersistenceFilter.invoke(ClientScopePersistenceFilter.java:28)  	at coldfusion.filter.BrowserFilter.invoke(BrowserFilter.java:38)  	at coldfusion.filter.NoCacheFilter.invoke(NoCacheFilter.java:46)  	at coldfusion.filter.GlobalsFilter.invoke(GlobalsFilter.java:38)  	at coldfusion.filter.DatasourceFilter.invoke(DatasourceFilter.java:22)  	at coldfusion.CfmServlet.service(CfmServlet.java:175)  	at coldfusion.bootstrap.BootstrapServlet.service(BootstrapServlet.java:89)  	at jrun.servlet.FilterChain.doFilter(FilterChain.java:86)  	at coldfusion.monitor.event.MonitoringServletFilter.doFilter(MonitoringServletFilter.java:42)  	at coldfusion.bootstrap.BootstrapFilter.doFilter(BootstrapFilter.java:46)  	at jrun.servlet.FilterChain.doFilter(FilterChain.java:94)  	at jrun.servlet.FilterChain.service(FilterChain.java:101)  	at jrun.servlet.ServletInvoker.invoke(ServletInvoker.java:106)  	at jrun.servlet.JRunInvokerChain.invokeNext(JRunInvokerChain.java:42)  	at jrun.servlet.JRunRequestDispatcher.invoke(JRunRequestDispatcher.java:286)  	at jrun.servlet.ServletEngineService.dispatch(ServletEngineService.java:543)  	at jrun.servlet.http.WebService.invokeRunnable(WebService.java:172)  	at jrunx.scheduler.ThreadPool$DownstreamMetrics.invokeRunnable(ThreadPool.java:320)  	at jrunx.scheduler.ThreadPool$ThreadThrottle.invokeRunnable(ThreadPool.java:428)  	at jrunx.scheduler.ThreadPool$UpstreamMetrics.invokeRunnable(ThreadPool.java:266)  	at jrunx.scheduler.WorkerThread.run(WorkerThread.java:66)  Caused by: java.sql.SQLException: [Macromedia][SequeLink JDBC Driver][ODBC Socket][Microsoft][ODBC Microsoft Access Driver] Extra ) in query expression '((ts_products.onWeb)=1) AND ((ts_products.archive)=0)) AND (((ts_styles.styleName) NOT IN (CQ1952M )) AND ((ts_colors.colorCode) NOT IN (BLACK))'.  	at macromedia.sequelink.ssp.Diagnostic.toSQLException(Unknown Source)  	at macromedia.sequelink.ssp.Chain.cnvDiagnostics(Unknown Source)  	at macromedia.sequelink.ssp.Chain.decodeDiagnostic(Unknown Source)  	at macromedia.sequelink.ssp.Chain.decodeBody(Unknown Source)  	at macromedia.sequelink.ssp.Chain.decode(Unknown Source)  	at macromedia.sequelink.ssp.Chain.send(Unknown Source)  	at macromedia.sequelink.ctxt.stmt.StatementContext.execDirect(Unknown Source)  	at macromedia.jdbc.sequelink.SequeLinkImplStatement.execute(Unknown Source)  	at macromedia.jdbc.slbase.BaseStatement.commonExecute(Unknown Source)  	at macromedia.jdbc.slbase.BaseStatement.executeInternal(Unknown Source)  	at macromedia.jdbc.slbase.BaseStatement.execute(Unknown Source)  	at coldfusion.server.j2ee.sql.JRunStatement.execute(JRunStatement.java:254)  	at coldfusion.sql.Executive.executeQuery(Executive.java:1196)  	at coldfusion.sql.Executive.executeQuery(Executive.java:1008)  	at coldfusion.sql.Executive.executeQuery(Executive.java:939)  	at coldfusion.sql.SqlImpl.execute(SqlImpl.java:325)  	at coldfusion.tagext.sql.QueryTag.executeQuery(QueryTag.java:831)  	at coldfusion.tagext.sql.QueryTag.doEndTag(QueryTag.java:521)  	... 67 more    CFTagContext=ID: CFQUERY; LINE: 29; TEMPLATE: D:\ColdFusion8\wwwroot\warehouse\handlers\admin\wizards.cfc   ID: CFINVOKE; LINE: 442; TEMPLATE: D:\ColdFusion8\wwwroot\coldbox\system\controller.cfc   ID: CF_TEMPLATEPROXY; LINE: 155; TEMPLATE: D:\ColdFusion8\wwwroot\coldbox\system\coldbox.cfc   ID: CF_UDFMETHOD; LINE: 51; TEMPLATE: D:\ColdFusion8\wwwroot\warehouse\Application.cfc"
"error","logger-plugin","08/28/2009","15:00:35",,"Custom Error Message: Application Execution ExceptionCFErrorType=Database  CFDetails=[Macromedia][SequeLink JDBC Driver][ODBC Socket][Microsoft][ODBC Microsoft Access Driver] Extra ) in query expression '((ts_products.onWeb)=1) AND ((ts_products.archive)=0)) AND (((ts_styles.styleName) NOT IN ('CQ1952M        ')) AND ((ts_colors.colorCode) NOT IN ('BLACK'))'.  CFMessage=Error Executing Database Query.  CFStackTrace=coldfusion.tagext.sql.QueryTag$DatabaseQueryException: Error Executing Database Query.  	at coldfusion.tagext.sql.QueryTag.doEndTag(QueryTag.java:583)  	at cfwizards2ecfc1253089337$funcIMPORTINVENTORY.runFunction(D:\ColdFusion8\wwwroot\warehouse\handlers\admin\wizards.cfc:29)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)  	at coldfusion.filter.SilentFilter.invoke(SilentFilter.java:47)  	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)  	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)  	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:56)  	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:463)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:453)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:320)  	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2210)  	at coldfusion.tagext.lang.InvokeTag.doEndTag(InvokeTag.java:362)  	at cfcontroller2ecfc193288416$funcRUNEVENT.runFunction(D:\ColdFusion8\wwwroot\coldbox\system\controller.cfc:442)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)  	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)  	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)  	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:56)  	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:463)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:453)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:320)  	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2210)  	at cfcoldbox2ecfc1260462919$funcPROCESSCOLDBOXREQUEST.runFunction(D:\ColdFusion8\wwwroot\coldbox\system\coldbox.cfc:155)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)  	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)  	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)  	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:56)  	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:192)  	at coldfusion.runtime.CfJspPage._invokeUDF(CfJspPage.java:2464)  	at cfApplication2ecfc179269221$funcONREQUESTSTART.runFunction(D:\ColdFusion8\wwwroot\warehouse\Application.cfc:51)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)  	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)  	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)  	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:56)  	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:192)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:448)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:308)  	at coldfusion.runtime.AppEventInvoker.invoke(AppEventInvoker.java:74)  	at coldfusion.runtime.AppEventInvoker.onRequestStart(AppEventInvoker.java:221)  	at coldfusion.filter.ApplicationFilter.invoke(ApplicationFilter.java:264)  	at coldfusion.filter.RequestMonitorFilter.invoke(RequestMonitorFilter.java:48)  	at coldfusion.filter.MonitoringFilter.invoke(MonitoringFilter.java:40)  	at coldfusion.filter.PathFilter.invoke(PathFilter.java:86)  	at coldfusion.filter.ExceptionFilter.invoke(ExceptionFilter.java:70)  	at coldfusion.filter.ClientScopePersistenceFilter.invoke(ClientScopePersistenceFilter.java:28)  	at coldfusion.filter.BrowserFilter.invoke(BrowserFilter.java:38)  	at coldfusion.filter.NoCacheFilter.invoke(NoCacheFilter.java:46)  	at coldfusion.filter.GlobalsFilter.invoke(GlobalsFilter.java:38)  	at coldfusion.filter.DatasourceFilter.invoke(DatasourceFilter.java:22)  	at coldfusion.CfmServlet.service(CfmServlet.java:175)  	at coldfusion.bootstrap.BootstrapServlet.service(BootstrapServlet.java:89)  	at jrun.servlet.FilterChain.doFilter(FilterChain.java:86)  	at coldfusion.monitor.event.MonitoringServletFilter.doFilter(MonitoringServletFilter.java:42)  	at coldfusion.bootstrap.BootstrapFilter.doFilter(BootstrapFilter.java:46)  	at jrun.servlet.FilterChain.doFilter(FilterChain.java:94)  	at jrun.servlet.FilterChain.service(FilterChain.java:101)  	at jrun.servlet.ServletInvoker.invoke(ServletInvoker.java:106)  	at jrun.servlet.JRunInvokerChain.invokeNext(JRunInvokerChain.java:42)  	at jrun.servlet.JRunRequestDispatcher.invoke(JRunRequestDispatcher.java:286)  	at jrun.servlet.ServletEngineService.dispatch(ServletEngineService.java:543)  	at jrun.servlet.http.WebService.invokeRunnable(WebService.java:172)  	at jrunx.scheduler.ThreadPool$DownstreamMetrics.invokeRunnable(ThreadPool.java:320)  	at jrunx.scheduler.ThreadPool$ThreadThrottle.invokeRunnable(ThreadPool.java:428)  	at jrunx.scheduler.ThreadPool$UpstreamMetrics.invokeRunnable(ThreadPool.java:266)  	at jrunx.scheduler.WorkerThread.run(WorkerThread.java:66)  Caused by: java.sql.SQLException: [Macromedia][SequeLink JDBC Driver][ODBC Socket][Microsoft][ODBC Microsoft Access Driver] Extra ) in query expression '((ts_products.onWeb)=1) AND ((ts_products.archive)=0)) AND (((ts_styles.styleName) NOT IN ('CQ1952M        ')) AND ((ts_colors.colorCode) NOT IN ('BLACK'))'.  	at macromedia.sequelink.ssp.Diagnostic.toSQLException(Unknown Source)  	at macromedia.sequelink.ssp.Chain.cnvDiagnostics(Unknown Source)  	at macromedia.sequelink.ssp.Chain.decodeDiagnostic(Unknown Source)  	at macromedia.sequelink.ssp.Chain.decodeBody(Unknown Source)  	at macromedia.sequelink.ssp.Chain.decode(Unknown Source)  	at macromedia.sequelink.ssp.Chain.send(Unknown Source)  	at macromedia.sequelink.ctxt.stmt.StatementContext.execDirect(Unknown Source)  	at macromedia.jdbc.sequelink.SequeLinkImplStatement.execute(Unknown Source)  	at macromedia.jdbc.slbase.BaseStatement.commonExecute(Unknown Source)  	at macromedia.jdbc.slbase.BaseStatement.executeInternal(Unknown Source)  	at macromedia.jdbc.slbase.BaseStatement.execute(Unknown Source)  	at coldfusion.server.j2ee.sql.JRunStatement.execute(JRunStatement.java:254)  	at coldfusion.sql.Executive.executeQuery(Executive.java:1196)  	at coldfusion.sql.Executive.executeQuery(Executive.java:1008)  	at coldfusion.sql.Executive.executeQuery(Executive.java:939)  	at coldfusion.sql.SqlImpl.execute(SqlImpl.java:325)  	at coldfusion.tagext.sql.QueryTag.executeQuery(QueryTag.java:831)  	at coldfusion.tagext.sql.QueryTag.doEndTag(QueryTag.java:521)  	... 67 more    CFTagContext=ID: CFQUERY; LINE: 29; TEMPLATE: D:\ColdFusion8\wwwroot\warehouse\handlers\admin\wizards.cfc   ID: CFINVOKE; LINE: 442; TEMPLATE: D:\ColdFusion8\wwwroot\coldbox\system\controller.cfc   ID: CF_TEMPLATEPROXY; LINE: 155; TEMPLATE: D:\ColdFusion8\wwwroot\coldbox\system\coldbox.cfc   ID: CF_UDFMETHOD; LINE: 51; TEMPLATE: D:\ColdFusion8\wwwroot\warehouse\Application.cfc"
"error","logger-plugin","08/28/2009","15:05:24",,"Custom Error Message: Application Execution ExceptionCFErrorType=Expression  CFMessage=Element PRCD8O is undefined in ASPRODUCTINVENTORYSTYLES.  CFStackTrace=coldfusion.runtime.UndefinedElementException: Element PRCD8O is undefined in ASPRODUCTINVENTORYSTYLES.  	at coldfusion.runtime.CfJspPage.resolveCanonicalName(CfJspPage.java:1647)  	at coldfusion.runtime.CfJspPage._resolve(CfJspPage.java:1600)  	at coldfusion.runtime.CfJspPage._resolveAndAutoscalarize(CfJspPage.java:1735)  	at coldfusion.runtime.CfJspPage._resolveAndAutoscalarize(CfJspPage.java:1728)  	at cfwizards2ecfc1253089337$funcIMPORTINVENTORY.runFunction(D:\ColdFusion8\wwwroot\warehouse\handlers\admin\wizards.cfc:36)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)  	at coldfusion.filter.SilentFilter.invoke(SilentFilter.java:47)  	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)  	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)  	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:56)  	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:463)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:453)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:320)  	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2210)  	at coldfusion.tagext.lang.InvokeTag.doEndTag(InvokeTag.java:362)  	at cfcontroller2ecfc193288416$funcRUNEVENT.runFunction(D:\ColdFusion8\wwwroot\coldbox\system\controller.cfc:442)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)  	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)  	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)  	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:56)  	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:463)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:453)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:320)  	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2210)  	at cfcoldbox2ecfc1260462919$funcPROCESSCOLDBOXREQUEST.runFunction(D:\ColdFusion8\wwwroot\coldbox\system\coldbox.cfc:155)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)  	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)  	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)  	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:56)  	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:192)  	at coldfusion.runtime.CfJspPage._invokeUDF(CfJspPage.java:2464)  	at cfApplication2ecfc179269221$funcONREQUESTSTART.runFunction(D:\ColdFusion8\wwwroot\warehouse\Application.cfc:51)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)  	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)  	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)  	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:56)  	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)  	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:192)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:448)  	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:308)  	at coldfusion.runtime.AppEventInvoker.invoke(AppEventInvoker.java:74)  	at coldfusion.runtime.AppEventInvoker.onRequestStart(AppEventInvoker.java:221)  	at coldfusion.filter.ApplicationFilter.invoke(ApplicationFilter.java:264)  	at coldfusion.filter.RequestMonitorFilter.invoke(RequestMonitorFilter.java:48)  	at coldfusion.filter.MonitoringFilter.invoke(MonitoringFilter.java:40)  	at coldfusion.filter.PathFilter.invoke(PathFilter.java:86)  	at coldfusion.filter.ExceptionFilter.invoke(ExceptionFilter.java:70)  	at coldfusion.filter.ClientScopePersistenceFilter.invoke(ClientScopePersistenceFilter.java:28)  	at coldfusion.filter.BrowserFilter.invoke(BrowserFilter.java:38)  	at coldfusion.filter.NoCacheFilter.invoke(NoCacheFilter.java:46)  	at coldfusion.filter.GlobalsFilter.invoke(GlobalsFilter.java:38)  	at coldfusion.filter.DatasourceFilter.invoke(DatasourceFilter.java:22)  	at coldfusion.CfmServlet.service(CfmServlet.java:175)  	at coldfusion.bootstrap.BootstrapServlet.service(BootstrapServlet.java:89)  	at jrun.servlet.FilterChain.doFilter(FilterChain.java:86)  	at coldfusion.monitor.event.MonitoringServletFilter.doFilter(MonitoringServletFilter.java:42)  	at coldfusion.bootstrap.BootstrapFilter.doFilter(BootstrapFilter.java:46)  	at jrun.servlet.FilterChain.doFilter(FilterChain.java:94)  	at jrun.servlet.FilterChain.service(FilterChain.java:101)  	at jrun.servlet.ServletInvoker.invoke(ServletInvoker.java:106)  	at jrun.servlet.JRunInvokerChain.invokeNext(JRunInvokerChain.java:42)  	at jrun.servlet.JRunRequestDispatcher.invoke(JRunRequestDispatcher.java:286)  	at jrun.servlet.ServletEngineService.dispatch(ServletEngineService.java:543)  	at jrun.servlet.http.WebService.invokeRunnable(WebService.java:172)  	at jrunx.scheduler.ThreadPool$DownstreamMetrics.invokeRunnable(ThreadPool.java:320)  	at jrunx.scheduler.ThreadPool$ThreadThrottle.invokeRunnable(ThreadPool.java:428)  	at jrunx.scheduler.ThreadPool$UpstreamMetrics.invokeRunnable(ThreadPool.java:266)  	at jrunx.scheduler.WorkerThread.run(WorkerThread.java:66)    CFTagContext=ID: ??; LINE: 36; TEMPLATE: D:\ColdFusion8\wwwroot\warehouse\handlers\admin\wizards.cfc   ID: CFINVOKE; LINE: 442; TEMPLATE: D:\ColdFusion8\wwwroot\coldbox\system\controller.cfc   ID: CF_TEMPLATEPROXY; LINE: 155; TEMPLATE: D:\ColdFusion8\wwwroot\coldbox\system\coldbox.cfc   ID: CF_UDFMETHOD; LINE: 51; TEMPLATE: D:\ColdFusion8\wwwroot\warehouse\Application.cfc"
